3MA	[np] - 3MA [np]
abréger	[vblex] - abreviar [vblex]
ABS	[n] - ABS [n]
Absa	[n] - Absa [n]
Absalom	[np] - Absalón [np]
absence	[n] - ausencia [n]
absent	[adj.f] - ausente [adj.mf]
absent	[adj.GD] - ausente [adj.mf]
absent	[adj.m] - ausente [adj.mf]
absenter	[vblex] - ausentar [vblex]
absentéisme	[n] - absentismo [n]
absinthe	[n] - absenta [n]
absinthe	[n] - absynthe [n]
absinthe	[n] - ajenjo [n]
absolu	[adj] - absoluto [adj]
absolument	[adv] - absolutamente [adv]
absolument pas	[adv] - en absoluto [adv]
absolution	[n] - absolución [n]
absolutisme	[n] - absolutismo [n]
absolutoire	[adj.mf] - absolutorio [adj.f]
absolutoire	[adj.mf] - absolutorio [adj.GD]
absolutoire	[adj.mf] - absolutorio [adj.m]
absorbant	[adj.f] - absorbente [adj.mf]
absorbant	[adj.GD] - absorbente [adj.mf]
absorbant	[adj.m] - absorbente [adj.mf]
absorber	[vblex] - absorber [vblex]
absorbé	[adj] - absorto [adj]
absorption	[n] - absorción [n]
abstenir	[vblex] - abstener [vblex]
abstention	[n] - abstención [n]
abstinence	[n] - abstinencia [n]
abstraction	[n] - abstracción [n]
abstrait	[adj] - abstracto [adj]
absurde	[adj.mf] - absurdo [adj.f]
absurde	[adj.mf] - absurdo [adj.GD]
absurde	[adj.mf] - absurdo [adj.m]
absurdité	[n] - absurdidad [n]
Abtwil	[np] - Abtwil [np]
Abubo	[np] - Abubo [np]
Abuja	[np] - Abuja [np]
Abuja	[np] - Abuya [np]
Abul	[np] - Abul [np]
Abulala	[np] - Abulala [np]
Abulcasis	[np] - Abulcasís [np]
Aburto	[np] - Aburto [np]
abus	[n.m.sp] - abuso [n.m.ND]
abus	[n.m.sp] - abuso [n.m.pl]
abus	[n.m.sp] - abuso [n.m.sg]
abuser	[vblex] - abusar [vblex]
abusif	[adj] - abusivo [adj]
Abydos	[np] - Abydos [np]
Abyei	[np] - Abyei [np]
Abyshev	[np] - Abyshev [np]
abyssal	[adj.f] - abisal [adj.mf]
abyssal	[adj.GD] - abisal [adj.mf]
abyssal	[adj.m] - abisal [adj.mf]
Abyssinie	[np] - Abisinia [np]
Abárzuza	[np] - Abárzuza [np]
abîme	[n] - abismo [n]
abîmer	[vblex] - estropear [vblex]
acacia	[n.m] - acacia [n.f]
acad	[n] - acad [n]
Academie Goncourt	[np] - Academia Goncourt [np]
académie	[n] - academia [n]
académique	[adj.mf] - académico [adj.f]
académique	[adj.mf] - académico [adj.GD]
académique	[adj.mf] - académico [adj.m]
Acajutla	[np] - Acajutla [np]
Acapulco	[np] - Acapulco [np]
Acapulco de Juárez	[np] - Acapulco de Juárez [np]
acariâtre	[adj.mf] - desabrido [adj.f]
acariâtre	[adj.mf] - desabrido [adj.GD]
acariâtre	[adj.mf] - desabrido [adj.m]
Acasiete	[np] - Acasiete [np]
Acasuso	[np] - Acasuso [np]
Acaz	[np] - Acaz [np]
ACB	[n] - ACB [n]
accablant	[adj.f] - agobiante [adj.mf]
accablant	[adj.GD] - agobiante [adj.mf]
accablant	[adj.m] - agobiante [adj.mf]
accablant	[adj] - abrumador [adj]
accablement	[n] - agobio [n]
accabler	[vblex] - abrumar [vblex]
accabler	[vblex] - agobiar [vblex]
accalmir	[vblex] - tranquilizar [vblex]
accaparer	[vblex] - acaparar [vblex]
accaparer	[vblex] - copar [vblex]
Accent	[np] - Accent [np]
accent	[n.m.ND] - énfasis [n.m.sp]
accent	[n.m.pl] - énfasis [n.m.sp]
accent	[n.m.sg] - énfasis [n.m.sp]
accent	[n] - acento [n]
accentuation	[n] - acentuación [n]
accentuer	[vblex] - acentuar [vblex]
accentuer	[vblex] - agudizar [vblex]
acceptable	[adj] - aceptable [adj]
acceptation	[n] - aceptación [n]
accepter	[vblex] - aceptar [vblex]
acception	[n] - acepción [n]
accessibilité	[n] - accesibilidad [n]
accessible	[adj] - accesible [adj]
accessit	[n] - accésit [n]
accessoire	[adj.mf] - accesorio [adj.f]
accessoire	[adj.mf] - accesorio [adj.GD]
accessoire	[adj.mf] - accesorio [adj.m]
accessoire	[n] - accesorio [n]
accessoirement	[adv] - accesoriamente [adv]
accessoires	[n.m.pl] - atrezzo [n.m.sp]
Acciari	[np] - Acciari [np]
accident	[n] - accidente [n]
accidentel	[adj.f] - accidental [adj.mf]
accidentel	[adj.GD] - accidental [adj.mf]
accidentel	[adj.m] - accidental [adj.mf]
accidentellement	[adv] - accidentalmente [adv]
accidenter	[vblex] - accidentar [vblex]
Acciona	[np] - Acciona [np]
acclamation	[n] - aclamación [n]
acclamer	[vblex] - aclamar [vblex]
acclimatation	[n] - aclimatación [n]
acclimater	[vblex] - aclimatar [vblex]
Accocceberry	[np] - Accocceberry [np]
accommoder	[vblex] - acomodar [vblex]
accompagnateur	[adj.f] - acompañante [adj.mf]
accompagnateur	[adj.GD] - acompañante [adj.mf]
accompagnateur	[adj.m] - acompañante [adj.mf]
accompagnement	[n] - acompañamiento [n]
accompagner	[vblex] - acompañar [vblex]
accomplir	[vblex] - cumplir [vblex]
accomplissement	[n] - cumplimiento [n]
accord	[n] - acorde [n]
accord	[n] - acuerdo [n]
accord de principe	[n] - preacuerdo [n]
accordable	[adj] - otorgable [adj]
accorder	[vblex] - afinar [vblex]
accorder	[vblex] - avenir [vblex]
accorder	[vblex] - conceder [vblex]
accorder	[vblex] - consensuar [vblex]
accorder à la demande de	[vblex] - conceder a instancia de [vblex]
accorder à la demande de	[vblex] - conceder a instancias de [vblex]
accordéon	[n] - acordeón [n]
accordéoniste	[n] - acordeonista [n]
accoster	[vblex] - atracar [vblex]
accotement	[n] - arcén [n]
accouchement	[n] - alumbramiento [n]
accouchement	[n] - parto [n]
accouplement	[n] - acoplamiento [n]
accoupler	[vblex] - aparear [vblex]
accourir	[vblex] - acudir [vblex]
accoutrement	[n.m] - vestimenta [n.f]
accoutumer	[vblex] - acostumbrar [vblex]
Accoyer	[np] - Accoyer [np]
Accra	[np] - Accra [np]
accrocher	[vblex] - enganchar [vblex]
accroissement	[n] - incremento [n]
accroître	[vblex] - acrecentar [vblex]
accroître	[vblex] - incrementar [vblex]
accréditation	[n] - acreditación [n]
accréditer	[vblex] - acreditar [vblex]
accréditif	[adj] - acreditativo [adj]
accueil	[n.m] - acogida [n.f]
accueil	[n.m] - bienvenida [n.f]
accueil	[n.m] - recepción [n.f]
accueil	[n] - acogida [n]
accueillant	[adj] - acogedor [adj]
accueillir	[vblex] - acoger [vblex]
accueillir	[vblex] - cobijar [vblex]
accueillir	[vblex] - dar cabida a [vblex]
accumulable	[adj] - acumulable [adj]
accumulation	[n] - acumulación [n]
accumuler	[vblex] - acumular [vblex]
accusateur	[adj] - acusador [adj]
accusation	[n] - acusación [n]
accusatoire	[adj.mf] - acusatorio [adj.f]
accusatoire	[adj.mf] - acusatorio [adj.GD]
accusatoire	[adj.mf] - acusatorio [adj.m]
accuser	[vblex] - acusar [vblex]
accuser	[vblex] - procesar [vblex]
accusé	[adj] - acusado [adj]
accusé de réception	[n] - acuse de recibo [n]
accès	[n.m.sp] - acceso [n.m.ND]
accès	[n.m.sp] - acceso [n.m.pl]
accès	[n.m.sp] - acceso [n.m.sg]
accéder	[vblex] - acceder [vblex]
accélérateur	[adj] - acelerador [adj]
accélérateur	[n] - acelerador [n]
accélération	[n] - aceleración [n]
accélérer	[vblex] - acelerar [vblex]
ACDAR	[n] - ACDAR [n]
ACDH	[n] - ACDH [n]
ACE	[n] - ACE [n]
Acebes	[np.ant] - Acebes [np.ant]
Acebo	[np] - Acebo [np]
Acebuche	[np] - Acebuche [np]
Acedo-Lodosa	[np] - Acedo-Lodosa [np]
Aceh	[np] - Aceh [np]
ACES	[n] - ACES [n]
Acetre	[np] - Acetre [np]
Acetti	[np] - Acetti [np]
Acevedo	[np] - Acevedo [np]
Acha	[np] - Acha [np]
Achalandabaso	[np] - Achalandabaso [np]
acharné	[adj] - acérrimo [adj]
achat	[n.m] - compra [n.f]
achat au comptant	[n.m] - compra al contado [n.f]
achat-vente	[n.m] - compraventa [n.f]
Achaïe	[np] - Acaya [np]
acheminer	[vblex] - encaminar [vblex]
Achero	[np] - Achero [np]
acheter	[vblex] - comprar [vblex]
acheteur	[n] - comprador [n]
achever	[vblex] - acabar [vblex]
achever	[vblex] - finalizar [vblex]
Achgabat	[np] - Asjabad [np]
Achile	[np] - Achile [np]
Achille	[np] - Achille [np]
Achille	[np] - Aquiles [np]
Achraf	[np] - Achraf [np]
Achurra	[np] - Achurra [np]
Aché	[n] - Aché [n]
Achútegui	[np] - Achútegui [np]
Aciari	[np] - Aciari [np]
acide	[adj.mf] - ácido [adj.f]
acide	[adj.mf] - ácido [adj.GD]
acide	[adj.mf] - ácido [adj.m]
acide	[n] - ácido [n]
acier	[n] - acero [n]
Acik	[np] - Acik [np]
Acina	[np] - Acina [np]
Acinas	[np] - Acinas [np]
ACIS	[n] - ACIS [n]
ACISA	[n] - ACISA [n]
Acisclo	[np] - Acisclo [np]
aciérie	[n] - acería [n]
ACL	[n] - ACL [n]
ACNC	[n] - ACNC [n]
ACNUR	[n] - ACNUR [n]
acolyte	[n] - acólito [n]
Aconcagua	[np] - Aconcagua [np]
Acosta	[np] - Acosta [np]
Acotz	[np] - Acotz [np]
acoustique	[adj.mf] - acústico [adj.f]
acoustique	[adj.mf] - acústico [adj.GD]
acoustique	[adj.mf] - acústico [adj.m]
acoustique	[adj] - acústico [adj]
acoustique	[n] - acústica [n]
acoustiquement	[adv] - acústicamente [adv]
acquiescement	[n.m] - aquiescencia [n.f]
acquiescer	[vblex] - asentir [vblex]
acquis	[n.m.sp] - experiencia [n.f.ND]
acquis	[n.m.sp] - veteranía [n.f.pl]
acquis	[n.m.sp] - veteranía [n.f.sg]
acquisitif	[adj] - adquisitivo [adj]
acquisition	[n] - adquisición [n]
acquit	[n] - recibo [n]
acquitter	[vblex] - absolver [vblex]
acquérir	[vblex] - adquirir [vblex]
acquêts	[n] - bienes gananciales [n]
acquêts	[n] - gananciales [n]
ACR	[n.acr] - ACR [n.acr]
Acrobat	[np] - Acrobat [np]
acrobatie	[n] - acrobacia [n]
acrobatique	[adj.mf] - acrobatico [adj.f]
acrobatique	[adj.mf] - acrobatico [adj.GD]
acrobatique	[adj.mf] - acrobatico [adj.m]
acroissement	[n.m] - ampliación [n.f]
Acropole	[np] - Acrópolis [np]
ACT	[n] - ACT [n]
acte	[n.m.sg] - auto [n.m.sg]
acte	[n.m] - acta [n.f]
acte	[n.m] - acto [n.m]
acte d'achat et vente	[n.m] - escritura de compraventa [n.f]
acte de naissance	[n] - partida de nacimiento [n]
acte notarié	[n.m] - escritura notarial [n.f]
Acte Unique Européen	[np] - Acta Unica Europea [np]
acteur	[n] - actor [n]
Acteón	[np] - Acteón [np]
actif	[adj] - activo [adj]
actif	[n] - activo [n]
actif	[n] - haber [n]
actif circulant	[n] - activo circulante [n]
actif fixe	[n] - activo fijo [n]
actinomètre	[n] - actinómetro [n]
action	[n.f.pl] - auto [n.m.pl]
action	[n] - acción [n]
action	[n] - actuación [n]
actionnaire	[n] - accionista [n]
actionnariat	[n] - accionariado [n]
actionnement	[n] - accionamiento [n]
actionner	[vblex] - accionar [vblex]
activation	[n] - activación [n]
activement	[adv] - activamente [adv]
activiste	[n] - activista [n]
activité	[n] - actividad [n]
actrice	[n] - actriz [n]
actu	[n] - actualidad [n]
actualisable	[adj] - actualizable [adj]
actualisation	[n] - actualización [n]
actualiser	[vblex] - actualizar [vblex]
actualité	[n] - actualidad [n]
actuariel	[adj.f] - actuarial [adj.mf]
actuariel	[adj.GD] - actuarial [adj.mf]
actuariel	[adj.m] - actuarial [adj.mf]
actuel	[adj.f] - actual [adj.mf]
actuel	[adj.GD] - actual [adj.mf]
actuel	[adj.m] - actual [adj.mf]
actuel	[adj] - actual [adj]
actuellement	[adv] - actualmente [adv]
ADAC	[n] - ADAC [n]
ADAE	[n] - ADAE [n]
Adala	[np] - Adala [np]
Adalbéron	[np] - Adalberón [np]
Adam	[np] - Adam [np]
Adamns	[np] - Adamns [np]
Adams	[np] - Adams [np]
Adamstown	[np] - Adamstown [np]
Adana	[np] - Adana [np]
adaptateur	[adj] - adaptador [adj]
adaptation	[n] - adaptación [n]
adapter	[vblex] - adaptar [vblex]
adapter	[vblex] - adecuar [vblex]
Adarra	[np] - Adarra [np]
Adarraga	[np] - Adarraga [np]
Adboulay	[np] - Adboulay [np]
Addameer	[np] - Addameer [np]
addictif	[adj] - adictivo [adj]
Addikt	[np] - Addikt [np]
Addis-Abeba	[np] - Addis Abeba [np]
Addis-Abeba	[np] - Adís Abeba [np]
additif	[adj] - aditivo [adj]
addition	[n] - adición [n]
additionnel	[adj.f] - adicional [adj.mf]
additionnel	[adj.GD] - adicional [adj.mf]
additionnel	[adj.m] - adicional [adj.mf]
additionnellement	[adv] - adicionalmente [adv]
additionner	[vblex] - adicionar [vblex]
additionner	[vblex] - sumar [vblex]
Addy	[np] - Addy [np]
ADECCCO	[n] - ADECCCO [n]
ADEGI	[n] - ADEGI [n]
Adegi	[np] - Adegi [np]
Adeje	[np] - Adeje [np]
Adel	[np] - Adel [np]
Adela	[np] - Adela [np]
Adelaida	[np] - Adelaida [np]
Adelaïde	[np] - Adelaïde [np]
Adelino	[np] - Adelino [np]
Ademar	[np] - Ademar [np]
ADEMGI	[n] - ADEMGI [n]
Ademola	[np] - Ademola [np]
Aden	[np] - Aden [np]
ADENA	[n] - ADENA [n]
adepte	[adj.mf] - adepto [adj.f]
adepte	[adj.mf] - adepto [adj.GD]
adepte	[adj.mf] - adepto [adj.m]
ADER	[n] - ADER [n]
Adeslas	[np] - Adeslas [np]
Adha	[np] - Adha [np]
Adhamiya	[np] - Adhamiya [np]
adhérence	[n] - adherencia [n]
adhérent	[n] - afiliado [n]
adhérer	[vblex] - adherir [vblex]
adhésif	[adj] - adhesivo [adj]
adhésion	[n] - adhesión [n]
adiabatique	[adj.mf] - adiabático [adj.f]
adiabatique	[adj.mf] - adiabático [adj.GD]
adiabatique	[adj.mf] - adiabático [adj.m]
ADICAE	[n] - ADICAE [n]
Adidas	[np] - Adidas [np]
adieco	[np] - adieco [np]
adieu	[n.m] - despedida [n.f]
adieu	[n] - adiós [n]
Adige	[np] - Adige [np]
ADIL	[n] - ADIL [n]
Adilton	[np] - Adilton [np]
ADIMDE	[n] - ADIMDE [n]
Adinan	[np] - Adinan [np]
Adinolfi	[np] - Adinolfi [np]
adipeux	[adj.f] - adiposo [adj.f]
adipeux	[adj.m.sp] - adiposo [adj.m.ND]
adipeux	[adj.m.sp] - adiposo [adj.m.pl]
adipeux	[adj.m.sp] - adiposo [adj.m.sg]
Adiputro	[np] - Adiputro [np]
adjacent	[adj.f] - adyacente [adj.mf]
adjacent	[adj.GD] - adyacente [adj.mf]
adjacent	[adj.m] - adyacente [adj.mf]
Adjani	[np] - Adjani [np]
adjectif	[n] - adjetivo [n]
adjoint	[adj] - adjunto [adj]
adjoint	[n] - adjunto [n]
adjudicataire	[n.mf] - adjudicatario [n.f]
adjudicataire	[n.mf] - adjudicatario [n.GD]
adjudicataire	[n.mf] - adjudicatario [n.m]
adjudication	[n] - adjudicación [n]
Adler	[np] - Adler [np]
admettre	[vblex] - admitir [vblex]
administrateur	[n] - administrador [n]
administratif	[adj] - administrativo [adj]
administratif	[n] - administrativo [n]
administration	[n.f] - administración pública [n.f]
administration	[n] - administración [n]
administration météorologique	[n] - autoridad meteorológica [n]
administrer	[vblex] - administrar [vblex]
admirable	[adj] - admirable [adj]
admirateur	[n] - admirador [n]
admiration	[n] - admiración [n]
admirer	[vblex] - admirar [vblex]
admissible	[adj] - admisible [adj]
admission	[n] - admisión [n]
admonestation	[n] - amonestación [n]
admonester	[vblex] - amonestar [vblex]
ADN	[n] - ADN [n]
Adnan	[np] - Adnan [np]
ADO	[n] - ADO [n]
adolescence	[n] - adolescencia [n]
adolescent	[n.f] - adolescente [n.mf]
adolescent	[n.GD] - adolescente [n.mf]
adolescent	[n.m] - adolescente [n.mf]
Adolf	[np] - Adolf [np]
Adolfo	[np] - Adolfo [np]
Adolphe	[np] - Adolphe [np]
Adonis	[np] - Adonis [np]
adonner	[vblex] - consagrar [vblex]
adoptant	[adj.f] - adoptante [adj.mf]
adoptant	[adj.GD] - adoptante [adj.mf]
adoptant	[adj.m] - adoptante [adj.mf]
adopter	[vblex] - adoptar [vblex]
adopter	[vblex] - amoldar [vblex]
adoptif	[adj] - adoptivo [adj]
adoption	[n] - adopción [n]
adorable	[adj] - adorable [adj]
adorateur	[adj] - adorador [adj]
adoration	[n] - adoración [n]
Adoration des mages	[np] - Adoración de los Magos [np]
adorer	[vblex] - adorar [vblex]
Adorni	[np] - Adorni [np]
adosser	[vblex] - adosar [vblex]
Adour	[np] - Adur [np]
ADR	[n] - ADR [n]
Adrala	[np] - Adrala [np]
adresse	[n] - dirección [n]
adresser	[vblex] - dirigir [vblex]
Adria	[np] - Adria [np]
Adriana	[np] - Adriana [np]
Adriano	[np] - Adriano [np]
Adrien	[np] - Adrien [np]
Adrià	[np] - Adrià [np]
Adrián	[np] - Adrián [np]
adroit	[adj.f] - hábil [adj.mf]
adroit	[adj.GD] - hábil [adj.mf]
adroit	[adj.m] - hábil [adj.mf]
adrénaline	[n] - adrenalina [n]
ADSL	[n] - ADSL [n]
Aducen	[np] - Aducen [np]
adulte	[n.mf] - adulto [n.f]
adulte	[n.mf] - adulto [n.GD]
adulte	[n.mf] - adulto [n.m]
adultère	[n] - adulterio [n]
Aduna	[np] - Aduna [np]
Aduritz	[np] - Aduritz [np]
Aduriz	[np] - Aduriz [np]
advection	[n] - advección [n]
adverbe	[n] - adverbio [n]
adversaire	[n.mf] - adversario [n.f]
adversaire	[n.mf] - adversario [n.GD]
adversaire	[n.mf] - adversario [n.m]
adversaire	[n.mf] - opositor [n.f]
adversaire	[n.mf] - opositor [n.m]
adverse	[adj.mf] - adverso [adj.f]
adverse	[adj.mf] - adverso [adj.GD]
adverse	[adj.mf] - adverso [adj.m]
adversité	[n] - adversidad [n]
Adán	[np] - Adán [np]
Adánez	[np] - Adánez [np]
Adélard	[np] - Adelardo [np]
adéquatement	[adv] - adecuadamente [adv]
adéquation	[n] - adecuación [n]
Adúriz	[np] - Adúriz [np]
Aebersold	[np] - Aebersold [np]
AECC	[n] - AECC [n]
Aecio	[np] - Aecio [np]
AEDE	[n] - AEDE [n]
AEE	[n] - AEE [n]
AEK	[n] - AEK [n]
AELE	[n.acr] - EFTA [n.acr]
AELE	[n] - AELC [n]
AELFP	[n] - AELFP [n]
Aena	[np.al] - Aena [np.al]
AENOR	[n] - AENOR [n]
Aenor	[np] - Aenor [np]
AEOCC	[n] - AEOCC [n]
AEPD	[n] - AEPD [n]
Aer	[n] - Aer [n]
Aermachi	[np] - Aermachi [np]
Aernouts	[np] - Aernouts [np]
Aerosmith	[np] - Aerosmith [np]
Aerts	[np] - Aerts [np]
AESOL	[n] - AESOL [n]
AEX	[n.acr] - AEX [n.acr]
Aezkoa	[np] - Aezkoa [np]
Afaadas	[np] - Afaadas [np]
Afalah	[np] - Afalah [np]
Afallah	[np] - Afallah [np]
Afanias	[n] - Afanias [n]
Afar	[n] - Afar [n]
Afek	[np] - Afek [np]
affable	[adj] - afable [adj]
Affadas	[np] - Affadas [np]
affaiblir	[vblex] - debilitar [vblex]
affaire	[n] - asunto [n]
affaire	[n] - negocio [n]
affairer	[vblex] - agitar [vblex]
affaires étrangères	[n] - asuntos exteriores [n]
affaisser	[vblex] - hundir [vblex]
affamé	[adj] - hambriento [adj]
affectation	[n] - afectación [n]
affecter	[vblex] - afectar [vblex]
affectif	[adj] - afectivo [adj]
affection	[n.f] - afecto [n.m]
affection	[n] - afección [n]
affectivité	[n] - afectividad [n]
affectueux	[adj.f] - cariñoso [adj.f]
affectueux	[adj.m.sp] - cariñoso [adj.m.ND]
affectueux	[adj.m.sp] - cariñoso [adj.m.pl]
affectueux	[adj.m.sp] - cariñoso [adj.m.sg]
affectueux	[adj] - amoroso [adj]
affecté	[adj] - afectado [adj]
affermissement	[n] - afianzamiento [n]
affiche	[n.f] - cartel [n.m]
affiche	[n] - cartelera [n]
afficher	[vblex] - anunciar [vblex]
afficher	[vblex] - ostentar [vblex]
affiliation	[n] - afiliación [n]
affilier	[vblex] - afiliar [vblex]
affinité	[n] - afinidad [n]
affirmatif	[adj] - afirmativo [adj]
affirmation	[n] - afirmación [n]
affirmer	[vblex] - afirmar [vblex]
affleurer	[vblex] - aflorar [vblex]
affliction	[n] - aflicción [n]
affliger	[vblex] - afligir [vblex]
affliger	[vblex] - apenar [vblex]
affliger	[vblex] - aquejar [vblex]
affluence	[n] - afluencia [n]
affluent	[n] - afluente [n]
affluer	[vblex] - afluir [vblex]
affoler	[vblex] - enloquecer [vblex]
affreux	[adj.f.pl] - horroroso [adj.f.pl]
affreux	[adj.f.sg] - horroroso [adj.f.sg]
affreux	[adj.m.sp] - horroroso [adj.m.ND]
affreux	[adj.m.sp] - horroroso [adj.m.pl]
affreux	[adj.m.sp] - horroroso [adj.m.sg]
affrontement	[n] - enfrentamiento [n]
affronter	[vblex] - afrontar [vblex]
affubler	[vblex] - vestir [vblex]
afghan	[adj] - afgano [adj]
afghan	[n] - afgano [n]
Afghanistan	[np] - Afganistán [np]
afin de	[pr] - con el fin de [pr]
afin que	[cnjadv] - con el fin de que [cnjadv]
Afinsa	[np] - Afinsa [np]
AFM	[n] - AFM [n]
Afolabi	[np] - Afolabi [np]
AFP	[n] - AFP [n]
Afra	[n] - Afra [n]
africain	[adj] - africano [adj]
africain	[n] - africano [n]
africaniste	[n] - africanista [n]
Afrique	[np] - África [np]
Afrique australe	[np] - África austral [np]
Afrique du Sud	[np.loc] - Suráfrica [np.loc]
Afrique du Sud	[np] - República de Sudáfrica [np]
Afrique du Sud	[np] - Sudáfrica [np]
Afrique Noire	[np] - África Negra [np]
Afrique subsaharienne	[np] - África subsahariana [np]
Afrique-Occidentale Française	[np] - África occidental francesa [np]
